CIBUS,Crop,HI,SR_ratio,CAN_MP,CAN_HR,CAN_ST,CAN_R,CAN_RD,i_ag,i_bg,source,re,h_value_type
"Cabbages, cauliflowers and broccoli",green_cabbage,,,1,0.298507462686567,0,0.432835820895522,0.134328358208955,0.298507462686567,0.567164179104477,Jacobs2020,none,crop
,hemp,,,1,0,0.0505181347150259,0.187823834196891,0.0582901554404145,0.0505181347150259,0.246113989637306,Jacobs2020,,crop
,herbs,,,1,0,0.250517598343685,0.625258799171843,0.194616977225673,0.250517598343685,0.819875776397516,Jacobs2020,,crop
,linseed,,,1,1.07667731629393,0.188498402555911,0.70926517571885,0.220447284345048,1.26517571884984,0.929712460063898,Jacobs2020,,crop
Oats,oat,,,1,0.923076923076923,0.163461538461538,0.855769230769231,0.266025641025641,1.08653846153846,1.12179487179487,Jacobs2020,spring_cereals,crop
"Rapeseed, spring",oilseed_rape,,,1,1.0375,0.184375,0.69375,0.215625,1.221875,0.909375,Jacobs2020,spring_oilseed,crop
"Rapeseed, winter",oilseed_rape,,,1,1.0375,0.184375,0.69375,0.215625,1.221875,0.909375,Jacobs2020,winter_oilseed,crop
Onions,onion,,,1,0.212927756653992,0,0.0418250950570342,0.0126742712294043,0.212927756653992,0.0544993662864385,Jacobs2020,root_crops,crop
Mixed cereals,other_spring_cereals,,,1,0.635071090047393,0.111374407582938,0.4739336492891,0.146919431279621,0.746445497630331,0.620853080568721,Jacobs2020,spring_cereals,crop
"Triticale, spring",other_spring_cereals,,,1,0.635071090047393,0.111374407582938,0.4739336492891,0.146919431279621,0.746445497630331,0.620853080568721,Jacobs2020,spring_cereals,crop
"Wheat, spring",other_spring_cereals,,,1,0.635071090047393,0.111374407582938,0.4739336492891,0.146919431279621,0.746445497630331,0.620853080568721,Jacobs2020,spring_cereals,crop
,other_winter_cereals,,,1,0.690307328605201,0.122931442080378,0.42080378250591,0.130023640661939,0.813238770685579,0.550827423167849,Jacobs2020,,crop
"Potatoes, starch",potatoes,,,1,0.200501253132832,0,0.0413533834586466,0.012531328320802,0.200501253132832,0.0538847117794486,Jacobs2020,root_crops,crop
"Potatoes, table",potatoes,,,1,0.200501253132832,0,0.0413533834586466,0.012531328320802,0.200501253132832,0.0538847117794486,Jacobs2020,root_crops,crop
Pumpkins and squash,pumpkin,,,1,0.420408163265306,0,0.473469387755102,0.146938775510204,0.420408163265306,0.620408163265306,Jacobs2020,none,crop
,radish,,,1,0.228498074454429,0,0.0423620025673941,0.0128369704749679,0.228498074454429,0.055198973042362,Jacobs2020,,crop
,red_cabbage,,,1,0.701711491442543,0,0.567237163814181,0.176039119804401,0.701711491442543,0.743276283618582,Jacobs2020,,crop
,salad,,,1,0.18974358974359,0,0.396581196581197,0.123076923076923,0.18974358974359,0.51965811965812,Jacobs2020,,crop
