crop,prod_system,region,area
Apples,organic,612,0.20899275889984456
Apples,organic,621,0.0010833335840883932
Apples,organic,622,0.004438624398859612
Apples,organic,711,0.0
Apples,organic,731,1.5317781071107697
Apples,organic,811,0.022086106001273215
Apples,organic,812,0.06331971633416675
Apples,organic,813,0.0
Apples,organic,814,0.006745150810181055
Apples,organic,821,0.013017251272417527
Apples,organic,831,0.00761464257787561
Apples,organic,911,0.0
Apples,organic,912,0.41566120049525906
Apples,organic,913,0.0
"Barley, spring",conventional,1011,2859.9885077953913
"Barley, spring",conventional,111,3311.3635208640553
"Barley, spring",conventional,1111,3806.344084041353
"Barley, spring",conventional,1112,2426.75853815238
"Barley, spring",conventional,112,3306.232076326824
"Barley, spring",conventional,1121,8443.005852802524
"Barley, spring",conventional,1122,4613.616928556518
"Barley, spring",conventional,1123,5156.558169631093
"Barley, spring",conventional,1124,1578.7662093965585
"Barley, spring",conventional,1131,335.09153917888455
"Barley, spring",conventional,1211,8666.791947363032
"Barley, spring",conventional,1212,5670.303853816728
"Barley, spring",conventional,1213,3402.5458518142877
"Barley, spring",conventional,1214,6551.844567558539
"Barley, spring",conventional,1215,8908.421708977392
"Barley, spring",conventional,1216,7928.508285165879
"Barley, spring",conventional,1221,1736.0213746230631
"Barley, spring",conventional,1222,3274.119119987609
"Barley, spring",conventional,1311,6925.235098806476
"Barley, spring",conventional,1321,7258.081745742518
"Barley, spring",conventional,1322,606.1818493250075
"Barley, spring",conventional,1331,2293.153271198328
"Barley, spring",conventional,1411,326.43368034578896
"Barley, spring",conventional,1412,1269.306544902819
"Barley, spring",conventional,1421,719.8989273235948
"Barley, spring",conventional,1511,2446.023082225318
"Barley, spring",conventional,1512,3614.583252449522
"Barley, spring",conventional,1521,1013.1370626981286
"Barley, spring",conventional,1522,1145.4098038795046
"Barley, spring",conventional,1611,747.9863581892237
"Barley, spring",conventional,1612,5155.374823826496
"Barley, spring",conventional,1613,2669.2650942069154
"Barley, spring",conventional,1614,1637.0748006898348
"Barley, spring",conventional,1615,3067.617206647677
"Barley, spring",conventional,1616,2342.8853815299863
"Barley, spring",conventional,1617,1064.5715855294989
"Barley, spring",conventional,1621,4802.525162252811
"Barley, spring",conventional,1622,5395.655896378933
"Barley, spring",conventional,1623,3734.6743423411735
"Barley, spring",conventional,1711,2474.3194420277027
"Barley, spring",conventional,1712,1755.236583587207
"Barley, spring",conventional,1713,1163.1990558799878
"Barley, spring",conventional,1721,510.33345563090944
"Barley, spring",conventional,1722,1930.1077388050364
"Barley, spring",conventional,1723,134.19036919974536
"Barley, spring",conventional,1724,308.9239689152353
"Barley, spring",conventional,1811,1607.7919308040232
"Barley, spring",conventional,1812,8247.839891259595
"Barley, spring",conventional,1813,734.1277183066591
"Barley, spring",conventional,1821,3554.893122137723
"Barley, spring",conventional,1911,7504.415808837678
"Barley, spring",conventional,1912,1557.7670253111805
"Barley, spring",conventional,1921,9242.338536080615
