region,animal,prod_system,number
421,hästar,conventional,3170.7412262208
422,kor för mjölkproduktion,conventional,516.4967849497443
422,kor för uppfödning av kalvar,conventional,547.471846903504
422,"kvigor, tjurar och stutar",conventional,999.2065866760943
422,"kalvar, under 1 år",conventional,1101.1078048876159
422,baggar och tackor,conventional,1842.6162220245199
422,lamm,conventional,1776.1427635505738
422,galtar för avel,conventional,5.076069867751521
422,suggor för avel,conventional,198.56998611606943
422,"slaktgrisar, 20 kg och däröver",conventional,1442.5675186133046
422,"smågrisar, under 20 kg",conventional,985.0291575739873
422,höns,conventional,3866.2701838984904
422,värpkycklingar,conventional,0.0
422,slaktkycklingar,conventional,298954.0660044726
422,kalkoner,conventional,0.0
422,hästar,conventional,1495.2787537470235
431,kor för mjölkproduktion,conventional,2353.721073755165
431,kor för uppfödning av kalvar,conventional,1289.3889628282097
431,"kvigor, tjurar och stutar",conventional,3574.538426048282
431,"kalvar, under 1 år",conventional,3578.0065028492277
431,baggar och tackor,conventional,2755.2277550821937
431,lamm,conventional,2391.8795354324857
431,galtar för avel,conventional,16.62265559268961
431,suggor för avel,conventional,1704.5197566594356
431,"slaktgrisar, 20 kg och däröver",conventional,11853.540696691869
431,"smågrisar, under 20 kg",conventional,5103.286313639491
431,höns,conventional,79754.02172406981
431,värpkycklingar,conventional,44933.65256213497
431,slaktkycklingar,conventional,565298.1145552024
431,kalkoner,conventional,0.0
431,hästar,conventional,3076.395637526216
511,kor för mjölkproduktion,conventional,2610.407836350908
511,kor för uppfödning av kalvar,conventional,1081.0409873384747
511,"kvigor, tjurar och stutar",conventional,3868.4624576768574
511,"kalvar, under 1 år",conventional,3596.3030738308144
511,baggar och tackor,conventional,2586.684957301998
511,lamm,conventional,2126.8087753059644
511,galtar för avel,conventional,6.16521723873328
511,suggor för avel,conventional,638.6395924749265
511,"slaktgrisar, 20 kg och däröver",conventional,2765.067316453962
511,"smågrisar, under 20 kg",conventional,1768.94448300739
511,höns,conventional,158930.4020853875
511,värpkycklingar,conventional,14005.446980149158
511,slaktkycklingar,conventional,4359.81063815592
511,kalkoner,conventional,0.0
511,hästar,conventional,1422.99273854009
512,kor för mjölkproduktion,conventional,3261.359996385717
512,kor för uppfödning av kalvar,conventional,1070.1029679490455
512,"kvigor, tjurar och stutar",conventional,4541.337589649111
512,"kalvar, under 1 år",conventional,3773.149310045217
512,baggar och tackor,conventional,1797.7329390489276
512,lamm,conventional,1597.3422003222277
512,galtar för avel,conventional,4.133406740159332
512,suggor för avel,conventional,133.13789054514342
512,"slaktgrisar, 20 kg och däröver",conventional,1340.0041251677092
512,"smågrisar, under 20 kg",conventional,345.05689071703443
512,höns,conventional,56324.059908230716
512,värpkycklingar,conventional,18827.010199757882
512,slaktkycklingar,conventional,16558.443066689782
512,kalkoner,conventional,0.0
512,hästar,conventional,1584.8238171972678
513,kor för mjölkproduktion,conventional,1147.6632574921055
513,kor för uppfödning av kalvar,conventional,821.1190851298979
513,"kvigor, tjurar och stutar",conventional,2409.0946217975325
513,"kalvar, under 1 år",conventional,3221.29225941635
513,baggar och tackor,conventional,1165.9844730005655
513,lamm,conventional,1075.3788609990202
513,galtar för avel,conventional,35.5902338420924
513,suggor för avel,conventional,4595.484212762028
513,"slaktgrisar, 20 kg och däröver",conventional,33319.91945208613
513,"smågrisar, under 20 kg",conventional,9837.605120404107
513,höns,conventional,553248.0240589146
513,värpkycklingar,conventional,83619.75156254249
513,slaktkycklingar,conventional,232126.50360718925
513,kalkoner,conventional,0.0
513,hästar,conventional,1769.3089082032789
514,kor för mjölkproduktion,conventional,4474.159828621645
514,kor för uppfödning av kalvar,conventional,1135.5520291675846
514,"kvigor, tjurar och stutar",conventional,5073.7022458871625
514,"kalvar, under 1 år",conventional,5481.323509605316
514,baggar och tackor,conventional,2091.758410832972
514,lamm,conventional,1997.9613492751905
514,galtar för avel,conventional,19.220419520304606
514,suggor för avel,conventional,1690.582223466748
514,"slaktgrisar, 20 kg och däröver",conventional,13199.98902099053
514,"smågrisar, under 20 kg",conventional,4209.189983187254
514,höns,conventional,496278.49940052937
514,värpkycklingar,conventional,148877.12811240123
514,slaktkycklingar,conventional,88500.21252176077
514,kalkoner,conventional,0.0
514,hästar,conventional,3532.5829717562992
515,kor för mjölkproduktion,conventional,2636.739660908565
515,kor för uppfödning av kalvar,conventional,1311.4906175780545
515,"kvigor, tjurar och stutar",conventional,4136.343449191182
515,"kalvar, under 1 år",conventional,3939.915066086958
515,baggar och tackor,conventional,2555.020535642333
515,lamm,conventional,1942.6201187184029
515,galtar för avel,conventional,10.568411006872768
515,suggor för avel,conventional,661.8855084599329
515,"slaktgrisar, 20 kg och däröver",conventional,4585.959940892409
515,"smågrisar, under 20 kg",conventional,3467.7284542275106
515,höns,conventional,167346.33573841155
515,värpkycklingar,conventional,260.93330871618855
515,slaktkycklingar,conventional,182611.94960800346
515,kalkoner,conventional,0.0
515,hästar,conventional,4042.589595987601
521,kor för mjölkproduktion,conventional,1620.3047547242493
521,kor för uppfödning av kalvar,conventional,778.860118986879
521,"kvigor, tjurar och stutar",conventional,2304.4477621541446
521,"kalvar, under 1 år",conventional,2400.260897767797
521,baggar och tackor,conventional,1634.2107694790843
521,lamm,conventional,1524.045827018904
521,galtar för avel,conventional,4.151404404057899
521,suggor för avel,conventional,321.2592460766003
521,"slaktgrisar, 20 kg och däröver",conventional,3973.2190117606074
521,"smågrisar, under 20 kg",conventional,1208.149862396008
521,höns,conventional,85064.14626472504
521,värpkycklingar,conventional,11577.276082146403
521,slaktkycklingar,conventional,109935.58757549083
521,kalkoner,conventional,0.0
521,hästar,conventional,2114.4948078700227
611,kor för mjölkproduktion,conventional,3765.238947863676
611,kor för uppfödning av kalvar,conventional,1957.1934278026172
611,"kvigor, tjurar och stutar",conventional,6589.8508141411
611,"kalvar, under 1 år",conventional,5349.10080622138
611,baggar och tackor,conventional,2006.9816678088157
611,lamm,conventional,2119.262017167096
611,galtar för avel,conventional,32.064173321946654
611,suggor för avel,conventional,36.082541749694236
611,"slaktgrisar, 20 kg och däröver",conventional,365.6950594101452
611,"smågrisar, under 20 kg",conventional,105.41121474978316
611,höns,conventional,6285.865835009147
611,värpkycklingar,conventional,0.0
611,slaktkycklingar,conventional,0.0
611,kalkoner,conventional,0.0
611,hästar,conventional,3722.790740067263
612,kor för mjölkproduktion,conventional,5936.102735725707
612,kor för uppfödning av kalvar,conventional,2830.4656730045444
612,"kvigor, tjurar och stutar",conventional,9217.314200504159
612,"kalvar, under 1 år",conventional,8269.026363302815
612,baggar och tackor,conventional,2221.782762359729
612,lamm,conventional,2364.0439136377486
612,galtar för avel,conventional,104.79757126850352
612,suggor för avel,conventional,216.9620200410728
612,"slaktgrisar, 20 kg och däröver",conventional,743.137292667639
612,"smågrisar, under 20 kg",conventional,481.5443166608191
612,höns,conventional,22523.11678726291
612,värpkycklingar,conventional,119.7249914013058
