f_species,f_breed,f_prod_system,f_region,x0_animals
cattle,dairy,conventional,811,8739.969645022667
cattle,beef,conventional,811,2199.1325711727254
sheep,none,conventional,811,2972.249747328942
pigs,none,conventional,811,2958.813271884407
poultry,layer,conventional,811,136314.93820899737
poultry,broiler,conventional,811,1492130.1328715568
cattle,dairy,conventional,812,11382.636307524715
cattle,beef,conventional,812,1733.7878672570898
sheep,none,conventional,812,3820.7032496550296
pigs,none,conventional,812,780.0467504898056
poultry,layer,conventional,812,31319.38395311984
poultry,broiler,conventional,812,103836.91611045416
cattle,dairy,conventional,813,3126.410749839466
cattle,beef,conventional,813,1685.2451754560054
sheep,none,conventional,813,2196.729273631165
pigs,none,conventional,813,1216.3369629741987
poultry,layer,conventional,813,994646.4826303422
poultry,broiler,conventional,813,300339.7833364047
cattle,dairy,conventional,814,4785.009469285484
cattle,beef,conventional,814,2294.202820627853
sheep,none,conventional,814,2584.626867964644
pigs,none,conventional,814,90.00146262010455
poultry,layer,conventional,814,11652.46644353174
poultry,broiler,conventional,814,140247.57048642152
cattle,dairy,conventional,821,4975.067842585442
cattle,beef,conventional,821,2496.957397182331
sheep,none,conventional,821,4140.927279676163
pigs,none,conventional,821,845.4222696650519
poultry,layer,conventional,821,2575.3026666896835
poultry,broiler,conventional,821,158878.01530018216
cattle,dairy,conventional,831,3731.592741678235
cattle,beef,conventional,831,3373.2062744536765
sheep,none,conventional,831,5497.49764405379
pigs,none,conventional,831,322.45138393593464
poultry,layer,conventional,831,81191.93625052819
poultry,broiler,conventional,831,404083.7981724233
cattle,dairy,conventional,911,2962.144240690411
cattle,beef,conventional,911,824.1936216449325
sheep,none,conventional,911,6150.043758740965
pigs,none,conventional,911,906.7487377630574
poultry,layer,conventional,911,45675.65010456095
poultry,broiler,conventional,911,4608.850694158978
cattle,dairy,conventional,912,5967.851985398896
cattle,beef,conventional,912,1660.5084498317285
sheep,none,conventional,912,12390.534651120768
pigs,none,conventional,912,1828.5817268161957
poultry,layer,conventional,912,92577.13053995372
poultry,broiler,conventional,912,9129.725019803944
cattle,dairy,conventional,913,3346.6437333310387
cattle,beef,conventional,913,931.1776182399988
sheep,none,conventional,913,6948.346782770072
pigs,none,conventional,913,1019.5831384505356
poultry,layer,conventional,913,50063.04199912009
poultry,broiler,conventional,913,5145.579491199589
cattle,dairy,conventional,1011,2526.7877393192093
cattle,beef,conventional,1011,3102.434203159858
sheep,none,conventional,1011,5052.252173524526
pigs,none,conventional,1011,1879.2574335374893
poultry,layer,conventional,1011,56524.01515106772
