cols_as_filter: f_operation,,,,,,,,,,,,,,,,,,,,,
f_crop,f_prod_system,harrowing,rolling,cultivation,ploughing,trimming,ridging,topping,minreal fert,manure appl,spraying,seeding,"seeding, combi","seeding, beets","seeding, spec",harvest,mowing,ensiling,"transport, grain","transport, straw","transport, general"
"Wheat, winter",organic,5,0.5,0.5,1,0,0,0,1.5,1,0,1,0,0,0,1,0,0,1,1,0
"Wheat, spring",organic,5,0.5,0.5,1,0,0,0,1.5,1,0,0,1,0,0,1,0,0,1,1,0
Rye,organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
"Barley, winter",organic,5,0.5,0.5,1,0,0,0,2,1,0,1,0,0,0,1,0,0,1,1,0
"Barley, spring",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
Oats,organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
"Triticale, winter",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
"Triticale, spring",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
Maize (corn),organic,5,0.5,0.5,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
Mixed cereals,organic,4,0.5,0.5,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
"Peas, dry",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"Peas, green",organic,4,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"Broad beans and horse beans, dry",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"Beans, dry",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"Rapeseed, winter",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"Rapeseed, spring",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"Potatoes, table",organic,4,0,2,1,2,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1
"Potatoes, starch",organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Sugar beet,organic,5,0.5,0.5,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
Ley for seed,organic,4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Ley for fodder,organic,0,0,0,0,0,0,0,2,1,0,0.3,0,0,0,0,2,2,0,0,0
Ley for grazing,organic,0,0,0,0,2,0,0,2,1,0,0.1,0,0,0,0,0,0,0,0,0
Maize for forage and silage,organic,1,0.5,0.5,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
Cereals for fodder,organic,1,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
Other crops for fodder,organic,1,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
Semi-natural pastures,organic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semi-natural meadows,organic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Onions,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Carrots,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Other root vegetables,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Lettuce and spinach,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
"Cabbages, cauliflowers and broccoli",organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Cucumbers,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Pumpkins and squash,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Herbs,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Other vegetables,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Strawberries,organic,5,0,2,1,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
Currants,organic,,,,,,,,,,,,,,,,,,,,
Other berries,organic,,,,,,,,,,,,,,,,,,,,
Apples,organic,,,,,,,,,,,,,,,,,,,,
Pears,organic,,,,,,,,,,,,,,,,,,,,
Other fruit,organic,,,,,,,,,,,,,,,,,,,,
"Tomatoes, greenhouse",organic,,,,,,,,,,,,,,,,,,,,
"Cucumbers, greenhouse",organic,,,,,,,,,,,,,,,,,,,,
"Lettuce, greenhouse",organic,,,,,,,,,,,,,,,,,,,,
"Other vegetables, greenhouse",organic,,,,,,,,,,,,,,,,,,,,
"Herbs, greenhouse",organic,,,,,,,,,,,,,,,,,,,,
"Strawberries, greenhouse",organic,,,,,,,,,,,,,,,,,,,,
"Other berries, greenhouse",organic,,,,,,,,,,,,,,,,,,,,
Fallow,organic,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Energy grass,organic,,,,,,,,,,,,,,,,,,,,
Short rotation coppice,organic,,,,,,,,,,,,,,,,,,,,
Green manure,organic,,,,,,,,,,,,,,,,,,,,
Ley not harvested,organic,0,0,0,0,1,0,0,0,1,0,0.1,0,0,0,0,,,,,
Sweet lupin,organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
Grey pea,organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
Quinoa,organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
Sunflower seeds,organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"Lentils, dry",organic,5,0.5,0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
Walnuts,organic,,,,,,,,,,,,,,,,,,,,
Hazelnuts,organic,,,,,,,,,,,,,,,,,,,,
