cols_as_filter: f_feed_par,,,,,,,,,,,,,,
f_feed,f_species,f_animal,GE,ASH,N,P,K,ME,AAT,PBV,DE,fat,NE,AME
maize silage,sheep,,,,,,,11,,,12.3,30,,
grazing,sheep,,,,,,,9.941666667,,,12.4,20,,
wheat,sheep,,,,,,,14.1,,,16,25,,
barley,sheep,,,,,,,13.2,,,15,27,,
oats,sheep,,,,,,,11.7,,,13.3,61,,
triticale,sheep,,,,,,,14,,,15.8,26,,
rye,sheep,,,,,,,13.9,,,15.8,20,,
maize,sheep,,,,,,,12.8,,,14.5,40,,
peas,sheep,,,,,,,13.8,,,16,17,,
broad beans,sheep,,,,,,,13.3,,,12.6,14,,
rapeseed,sheep,,,,,,,22.1,,,22.1,460,,
linseed,sheep,,,,,,,20.1,,,20.8,380,,
vegetable oils,sheep,,,,,,,36.6,,,36.6,1000,,
straw,sheep,,,,,,,6.6,,,7.6,20,,
soybeans,sheep,,,,,,,16.4,,,18.4,180,,
soybean meal,sheep,,,,,,,14.6,,,17.8,10,,
soybean protein concentrate,sheep,,,,,,,13.4,,,18.19669298,17,,
rapeseed meal,sheep,,,,,,,12.2,,,14.6,46,,
rapeseed cake,sheep,,,,,,,15.6,,,17.3,174,,
sunflower seed meal,sheep,,,,,,,11.4,,,14.1,10,,
palm kernel expeller,sheep,,,,,,,13.4,,,15,97,,
luzern meal,sheep,,,,,,,8.5,,,10.7,27,,
wheat bran,sheep,,,,,,,11,,,12.7,45,,
"wheat bran, fine",sheep,,,,,,,13.3,,,15.62761656,27,,
oat hulls,sheep,,,,,,,5.2,,,6.2,20,,
oat bran,sheep,,,,,,,7.2,,,8.4,32,,
rye bran,sheep,,,,,,,11.6,,,13.2,40,,
"wheat distillers grain, dry",sheep,,,,,,,13.3,,,15.7,45,,
"wheat distillers grain, wet",sheep,,,,,,,,,,,,,
barley brewers grain,sheep,,,,,,,11.6,,,13.6,80,,
maize gluten meal,sheep,,,,,,,16,,,19.6,24,,
sugar beet molasses,sheep,,,,,,,12.4,,,14.1,0,,
sugar beet pulp,sheep,,,,,,,12.3,,,14.7,32,,
whey,sheep,,,,,,,13.6,,,15.1,10,,
whey powder,sheep,,,,,,,12.3,,,15.40488174,13,,
potatoe protein,sheep,,,,,,,15.5,,,19.7,33,,
potatoe offals,sheep,,,,,,,13.1,,,14.9,10,,
fish meal,sheep,,,,,,,14.8,,,21.75054492,110,,
minerals,sheep,,,,,,,0,,,0,0,,
,,,,,,,,,,,,,,
"ley silage, 1st cut",horses,,,,,,,11.3,,,13.35,20,,
"ley silage, regrowth",horses,,,,,,,10.1,,,11.9,20,,
other silage,horses,,,,,,,8.5,,,10.75,22.5,,
hay,horses,,,,,,,9.1,,,11.8,20,,
maize silage,horses,,,,,,,11,,,12.3,30,,
grazing,horses,,,,,,,9.941666667,,,12.4,20,,
wheat,horses,,,,,,,14.1,,,16,25,,
barley,horses,,,,,,,13.2,,,15,27,,
oats,horses,,,,,,,11.7,,,13.3,61,,
triticale,horses,,,,,,,14,,,15.8,26,,
rye,horses,,,,,,,13.9,,,15.8,20,,
maize,horses,,,,,,,12.8,,,14.5,40,,
peas,horses,,,,,,,13.8,,,16,17,,
broad beans,horses,,,,,,,13.3,,,12.6,14,,
rapeseed,horses,,,,,,,22.1,,,22.1,460,,
linseed,horses,,,,,,,20.1,,,20.8,380,,
vegetable oils,horses,,,,,,,36.6,,,36.6,1000,,
straw,horses,,,,,,,6.6,,,7.6,20,,
soybeans,horses,,,,,,,16.4,,,18.4,180,,
soybean meal,horses,,,,,,,14.6,,,17.8,10,,
soybean protein concentrate,horses,,,,,,,13.4,,,18.19669298,17,,
rapeseed meal,horses,,,,,,,12.2,,,14.6,46,,
rapeseed cake,horses,,,,,,,15.6,,,17.3,174,,
sunflower seed meal,horses,,,,,,,11.4,,,14.1,10,,
palm kernel expeller,horses,,,,,,,13.4,,,15,97,,
luzern meal,horses,,,,,,,8.5,,,10.7,27,,
wheat bran,horses,,,,,,,11,,,12.7,45,,
"wheat bran, fine",horses,,,,,,,13.3,,,15.62761656,27,,
oat hulls,horses,,,,,,,5.2,,,6.2,20,,
oat bran,horses,,,,,,,7.2,,,8.4,32,,
rye bran,horses,,,,,,,11.6,,,13.2,40,,
"wheat distillers grain, dry",horses,,,,,,,13.3,,,15.7,45,,
"wheat distillers grain, wet",horses,,,,,,,,,,,,,
barley brewers grain,horses,,,,,,,11.6,,,13.6,80,,
maize gluten meal,horses,,,,,,,16,,,19.6,24,,
sugar beet molasses,horses,,,,,,,12.4,,,14.1,0,,
