f_region,f_land_use,share_org_soil
2111,semi-natural grasslands,11.69663402773312
2122,cropland,1.489266740323826
2122,semi-natural grasslands,4.3599748690966065
2331,cropland,0.8268707384191771
2331,semi-natural grasslands,1.1803788423016033
2019,cropland,0.0
2019,semi-natural grasslands,0.0
2221,cropland,1.1822087328404325
2221,semi-natural grasslands,6.770859098740394
2211,cropland,0.0
2211,semi-natural grasslands,0.0
2212,cropland,0.0
2212,semi-natural grasslands,0.0
2312,cropland,0.0
2312,semi-natural grasslands,0.0
2311,cropland,0.0
2311,semi-natural grasslands,0.0
2414,cropland,1.9752003128867075
2414,semi-natural grasslands,0.0
2415,cropland,1.9258629748930791
2415,semi-natural grasslands,0.0
2319,cropland,0.0
2319,semi-natural grasslands,0.0
2419,cropland,2.0
2419,semi-natural grasslands,0.0
2521,cropland,1.6982700758197722
2521,semi-natural grasslands,0.0
2411,cropland,2.0
2411,semi-natural grasslands,0.0
2412,cropland,2.0
2412,semi-natural grasslands,0.0
2413,cropland,2.0
2413,semi-natural grasslands,0.0
2511,cropland,1.5038941954781782
2511,semi-natural grasslands,0.0
2519,cropland,1.5488756688256218
2519,semi-natural grasslands,0.0
2512,cropland,1.5
2512,semi-natural grasslands,0.0
